Player,Season,Pos,Team,G,ORB,DRB,AST,STL,BLK,TOV,PTS
Spencer Hawes,2010.0,C,SAC,72.0,145.0,291.0,158.0,32.0,83.0,131.0,723.0
Gerald Henderson,2010.0,SG,CHA,43.0,15.0,40.0,13.0,10.0,9.0,14.0,113.0
Roy Hibbert,2010.0,C,IND,81.0,177.0,287.0,158.0,30.0,131.0,145.0,946.0
Nene Hilario,2010.0,C,DEN,82.0,166.0,461.0,203.0,115.0,82.0,125.0,1135.0
George Hill,2010.0,PG,SAS,78.0,42.0,163.0,226.0,69.0,26.0,101.0,964.0
Jordan Hill,2010.0,PF,TOT,47.0,76.0,99.0,20.0,14.0,21.0,30.0,244.0
Jrue Holiday,2010.0,PG,PHI,73.0,56.0,135.0,280.0,79.0,18.0,156.0,587.0
Al Horford,2010.0,C,ATL,81.0,236.0,563.0,189.0,59.0,91.0,122.0,1148.0
Dwight Howard,2010.0,C,ORL,82.0,284.0,798.0,144.0,75.0,228.0,274.0,1503.0
Kris Humphries,2010.0,PF,TOT,69.0,120.0,258.0,32.0,36.0,48.0,66.0,487.0
Serge Ibaka,2010.0,PF,OKC,73.0,138.0,259.0,10.0,25.0,97.0,68.0,461.0
Andre Iguodala,2010.0,SF,PHI,82.0,82.0,447.0,472.0,141.0,55.0,218.0,1401.0
Ersan Ilyasova,2010.0,PF,MIL,81.0,157.0,360.0,84.0,53.0,23.0,71.0,840.0
Jarrett Jack,2010.0,PG,TOR,82.0,30.0,192.0,413.0,60.0,6.0,163.0,931.0
LeBron James,2010.0,SF,CLE,76.0,71.0,483.0,651.0,125.0,77.0,261.0,2258.0
Al Jefferson,2010.0,C,MIN,76.0,180.0,523.0,137.0,63.0,98.0,136.0,1301.0
Richard Jefferson,2010.0,SF,SAS,81.0,58.0,298.0,158.0,45.0,40.0,105.0,994.0
Brandon Jennings,2010.0,PG,MIL,82.0,49.0,233.0,470.0,105.0,18.0,200.0,1270.0
Amir Johnson,2010.0,PF,TOR,82.0,154.0,241.0,48.0,44.0,66.0,63.0,511.0
James Johnson,2010.0,PF,CHI,65.0,34.0,94.0,48.0,21.0,43.0,62.0,256.0
Joe Johnson,2010.0,SG,ATL,76.0,74.0,279.0,369.0,82.0,5.0,145.0,1619.0
James Jones,2010.0,SF,MIA,36.0,4.0,41.0,17.0,11.0,4.0,11.0,146.0
DeAndre Jordan,2010.0,C,LAC,70.0,122.0,230.0,21.0,16.0,62.0,75.0,336.0
Kyle Korver,2010.0,SG,UTA,52.0,10.0,101.0,89.0,26.0,12.0,42.0,374.0
Kosta Koufos,2010.0,C,UTA,36.0,16.0,29.0,6.0,2.0,4.0,15.0,53.0
